Genre,year,sum
Barbadian Pop,2007,93155.45000000014
Barbadian Pop,2008,136.4
Barbadian Pop,2011,1399.05
Barbadian Pop,2012,118.4
Barbadian Pop,2015,116.0
Barbadian Pop,2016,207880.94999999998
Baroque Pop,2005,199.20000000000002
Baroque Pop,2006,26.4
Baroque Pop,2008,1447.5500000000002
Baroque Pop,2012,1083.2000000000003
Baroque Pop,2016,2227.2
Baroque Pop,2018,1239945.8
Baroque Pop,2019,320.0
Bass House,2017,87.19999999999999
Bass House,2018,854.7000000000003
Bass Trap,2015,4.0
Bass Trap,2017,4406.9
Bass Trap,2018,545.9
Bass Trap,2019,96.05
Basshall,2016,33639.6
Basshall,2017,109.6
Basshall,2018,111063.1
Basshall,2019,1911.9500000000005
Basshall,2020,67.2
Bassline,2009,200.00000000000006
Bassline,2018,1100.0
Batida,2018,66494.3
Baton Rouge Rap,2017,842.4
Baton Rouge Rap,2018,4696.450000000003
Baton Rouge Rap,2019,39408.799999999996
Baton Rouge Rap,2020,4107.6
Beach House,2017,761.6
Beatlesque,1995,448.45000000000005
Bebop,2018,207.05
Bedroom Pop,2017,83471.05000000003
Bedroom Pop,2018,572.8
Bedroom Pop,2019,2359.9
Bedroom Pop,2020,536568.95
Bedroom Soul,2018,420.00000000000017
Bedroom Soul,2019,736729.0499999999
Bedroom Soul,2020,224.5
Belarusian Indie,2020,2778.8
Belgian Dance,2017,193374.84999999998
Belgian Dance,2018,23145.2
Belgian Edm,2016,342.40000000000003
Belgian Edm,2017,173201.49999999997
Belgian Edm,2018,27818.05
Belgian Edm,2019,33267.2
Belgian Edm,2020,4.800000000000002
Belgian Hip Hop,2017,2432.250000000001
Belgian Hip Hop,2018,12237.050000000003
Belgian Hip Hop,2019,21892.15
Belgian Hip Hop,2020,24839.95
Belgian Indie,2017,29250.649999999998
Belgian Indie,2018,1680.6999999999994
Belgian Indie,2019,672.15
Belgian Indie,2020,32.800000000000004
Belgian Pop,2016,289.6
Belgian Pop,2017,4264.8
Belgian Pop,2020,521.6
Big Beat,1999,19.200000000000006
Big Beat,2005,64.80000000000001
Big Room,2010,95.85
Big Room,2012,400.6
Big Room,2013,132075.95
Big Room,2014,56553.75
Big Room,2015,104456.00000000001
Big Room,2016,1923297.1
Big Room,2017,6849841.4
Big Room,2018,582097.45
Big Room,2019,1872588.55
Big Room,2020,84155.40000000001
Birmingham Grime,2016,617.6
Birmingham Grime,2017,80.0
Birmingham Grime,2018,10328.5
Birmingham Grime,2019,65352.94999999998
Birmingham Grime,2020,9318.2
Birmingham Hip Hop,2020,85.0
Blues Rock,1959,589.6
Blues Rock,1999,86.4
Bmore,2015,11225.0
Bmore,2017,27426.450000000004
Bmore,2018,3216.9
Bmore,2019,63050.75
Bmore,2020,30830.200000000004
Boston Hip Hop,2018,7820.549999999999
